functional_area,program_name,run_id,table_name,target_record_count,quarter
Buy-In,BUY_MS_MASTER                 ,TST23     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,t_buy_partb_bill              ,662284, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_buy_parta_bill              ,27890, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_buy_partb_bill              ,662284, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,t_re_hib                      ,637208, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_re_hib                      ,716581, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_buy_parta_bill              ,28208, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,t_buy_partb_bill              ,668591, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_re_hib                      ,833217, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_buy_partb_bill              ,752361, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,t_buy_parta_bill              ,33935, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_buy_parta_bill              ,33935, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_re_hib                      ,833308, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,t_buy_partb_bill              ,752377, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_re_hib                      ,835852, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_buy_partb_bill              ,754844, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,t_buy_parta_bill              ,34142, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_re_hib                      ,846700, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_buy_partb_bill              ,1051250, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_re_hib                      ,848039, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,t_buy_partb_bill              ,1051249, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_buy_parta_bill              ,50043, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_re_hib                      ,848039, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,t_buy_partb_bill              ,1051249, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_buy_parta_bill              ,96596, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_re_hib                      ,966152, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,t_buy_partb_bill              ,2018104, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_re_hib                      ,966152, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_buy_partb_bill              ,2018104, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,t_buy_parta_bill              ,96596, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,t_buy_partb_bill              ,1020313, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,t_buy_parta_bill              ,48740, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,t_re_hib                      ,966150, 
Buy-In,BUY_MS_MMA_RESPONSE           ,ALL02     ,t_re_medicare_a               ,174436, 
Buy-In,BUY_MS_MMA_RESPONSE           ,ALL02     ,t_re_medicare_b               ,180147, 
Buy-In,BUY_MS_MMA_RESPONSE           ,ALL02     ,t_buy_partd_enroll            ,507400, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL1    ,t_buy_partd_enroll            ,511200, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL1    ,t_re_medicare_a               ,174778, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL1    ,t_re_medicare_b               ,180503, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL2    ,t_re_medicare_a               ,174778, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL2    ,t_buy_partd_enroll            ,511200, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL2    ,t_re_medicare_b               ,180503, 
Buy-In,BUY_MS_MMA_RESPONSE           ,MOD03     ,t_buy_partd_enroll            ,506398, 
Buy-In,BUY_MS_MMA_RESPONSE           ,MOD03     ,t_re_medicare_b               ,180105, 
Buy-In,BUY_MS_MMA_RESPONSE           ,MOD03     ,t_re_medicare_a               ,174394, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM01    ,t_buy_partd_enroll            ,166864, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM01    ,t_re_medicare_b               ,167639, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM01    ,t_re_medicare_a               ,162432, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM02    ,t_re_medicare_a               ,482, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM02    ,t_buy_partd_enroll            ,1126, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM02    ,t_re_medicare_b               ,499, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM03    ,t_re_medicare_b               ,903, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM03    ,t_re_medicare_a               ,869, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM03    ,t_buy_partd_enroll            ,1891, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM04    ,t_buy_partd_enroll            ,1891, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM04    ,t_re_medicare_a               ,869, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM04    ,t_re_medicare_b               ,903, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM05    ,t_re_medicare_a               ,166488, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM05    ,t_re_medicare_b               ,171929, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM05    ,t_buy_partd_enroll            ,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TRAD01    ,t_buy_partd_enroll            ,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TRAD01    ,t_re_medicare_a               ,170553, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TRAD01    ,t_re_medicare_b               ,176136, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST03     ,t_buy_partd_enroll            ,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST03     ,t_re_medicare_b               ,169485, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST03     ,t_re_medicare_a               ,164198, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST04     ,t_re_medicare_b               ,169485, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST04     ,t_re_medicare_a               ,164198, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST04     ,t_buy_partd_enroll            ,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST05     ,t_buy_partd_enroll            ,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST05     ,t_re_medicare_a               ,164198, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST05     ,t_re_medicare_b               ,169485, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST08     ,t_re_medicare_b               ,175000, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST08     ,t_buy_partd_enroll            ,336031, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST08     ,t_re_medicare_a               ,169456, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST09     ,t_re_medicare_b               ,176136, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST09     ,t_re_medicare_a               ,170553, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST09     ,t_buy_partd_enroll            ,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST10     ,t_buy_partd_enroll            ,169309, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST10     ,t_re_medicare_a               ,166430, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST10     ,t_re_medicare_b               ,171899, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST12     ,t_re_medicare_a               ,170549, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST12     ,t_buy_partd_enroll            ,337899, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST12     ,t_re_medicare_b               ,176129, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST15     ,t_re_medicare_a               ,174436, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST15     ,t_buy_partd_enroll            ,507400, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST15     ,t_re_medicare_b               ,180147, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST17     ,t_re_medicare_b               ,180147, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST17     ,t_re_medicare_a               ,174436, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST17     ,t_buy_partd_enroll            ,507400, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST18     ,t_buy_partd_enroll            ,507400, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST18     ,t_re_medicare_a               ,174436, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST18     ,t_re_medicare_b               ,180147, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST19     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST19     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST19     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST20     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST20     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST20     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST21     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST21     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST21     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST23     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST23     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST23     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST25     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST25     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST25     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST27     ,t_re_medicare_a               ,174560, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST27     ,t_re_medicare_b               ,180272, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST27     ,t_buy_partd_enroll            ,509144, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST28     ,t_re_medicare_b               ,180272, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST28     ,t_re_medicare_a               ,174560, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST28     ,t_buy_partd_enroll            ,509144, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST30     ,t_buy_partd_enroll            ,509145, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST30     ,t_re_medicare_b               ,180273, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST30     ,t_re_medicare_a               ,174561, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST32     ,t_re_medicare_a               ,174561, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST32     ,t_re_medicare_b               ,180273, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST32     ,t_buy_partd_enroll            ,509145, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST34     ,t_buy_partd_enroll            ,510214, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST34     ,t_re_medicare_a               ,174692, 
